Zipcode,Total_POP,TMale,TMale21 ,TMale35,TMale65,TFemale21,TFemale35,TFemale65,TFemal
75961,15644,7277,407,437,109,623,519,202,8367
76452,108,71,0,12,10,0,0,0,37
80235,8742,4349,81,400,57,7,231,98,4393
80620,19407,9806,103,607,103,86,587,135,9601
81001,30764,15842,207,864,204,289,974,350,14922
83401,43012,21326,352,1404,357,139,1522,392,21686
57481,464,312,0,3,0,0,2,0,152
58723,254,159,2,0,4,0,3,11,95
78349,603,301,12,33,4,0,0,0,302
79381,1601,793,9,66,15,0,69,25,808
63626,1629,912,0,0,0,0,0,0,717
23486,39,16,0,0,0,0,0,0,23
24069,2087,1024,43,72,25,14,22,30,1063
15773,537,262,0,5,16,0,3,0,275
16665,294,156,0,9,0,0,32,1,138
16927,586,323,0,10,16,0,4,5,263
30746,940,467,0,0,14,0,49,33,473
32830,5,5,0,0,0,0,0,0,0
33756,33649,15843,190,1050,607,368,957,357,17806
20868,864,381,25,39,29,15,15,0,483
21849,3299,1677,0,45,20,0,120,9,1622
17570,206,130,0,32,0,0,17,0,76
18456,350,180,0,2,5,0,14,3,170
18834,3505,1753,31,51,61,13,122,36,1752
19134,61509,29598,240,2595,464,446,1910,600,31911
29164,5190,2683,16,74,75,27,222,64,2507
54020,6898,3274,38,216,82,35,263,129,3624
55125,43438,20797,325,1388,327,290,1466,684,22641
56039,970,476,1,32,11,2,23,14,494
39154,10347,5207,175,234,94,81,244,173,5140
8817,44823,22689,193,2193,365,203,1665,753,22134
10965,15517,7481,158,317,85,126,393,171,8036
12151,792,376,0,17,8,3,18,28,416
12195,121,31,0,0,8,0,0,0,90
18216,1038,506,9,43,13,0,21,16,532
2169,56584,26826,225,1967,619,157,2279,880,29758
2375,10218,4797,22,220,90,53,251,127,5421
2639,3160,1629,19,72,27,0,92,85,1531
77590,31498,15039,333,910,278,188,1066,295,16459
78013,6143,3201,82,171,88,185,137,65,2942
68832,2203,1124,7,30,39,0,62,24,1079
62611,1115,580,0,27,14,0,27,18,535
70005,25200,12130,214,674,402,163,788,329,13070
71048,54,30,0,0,5,0,0,1,24
26865,257,193,0,29,0,0,0,13,64
28007,714,333,0,0,0,11,38,20,381
54964,979,475,3,18,22,4,6,15,504
56011,9311,4543,45,378,60,29,427,106,4768
50167,697,313,7,18,0,1,53,18,384
80202,13756,7770,113,705,103,137,274,199,5986
84305,788,435,7,20,3,2,28,2,353
85382,39556,18581,251,1192,352,437,1139,774,20975
93465,8914,4225,38,160,77,0,184,173,4689
95383,3828,2103,2,88,89,15,206,145,1725
95665,4664,2392,10,91,94,0,323,137,2272
90301,37291,18288,217,1204,324,269,1444,331,19003
60974,294,136,0,6,5,0,12,3,158
62001,1796,838,0,59,0,2,20,17,958
92543,37615,17426,156,809,308,235,1237,604,20189
14617,22589,10915,81,513,368,67,705,468,11674
15238,13019,6396,80,391,294,16,412,291,6623
21767,1019,380,0,0,0,0,56,23,639
2886,29007,13393,49,741,281,223,789,383,15614
4981,2419,1194,31,47,32,24,50,46,1225
5061,1447,767,61,45,12,29,4,8,680
5648,439,232,0,25,13,0,11,9,207
982,14241,6503,89,336,131,114,498,235,7738
37407,10535,5288,26,305,57,109,451,139,5247
38704,0,0,0,0,0,0,0,0,0
30415,6161,2755,8,208,61,48,183,46,3406
31525,29803,13900,243,824,171,125,764,446,15903
32798,2595,1442,0,0,13,0,0,33,1153
43719,2689,1447,6,33,34,34,34,40,1242
43748,2752,1468,15,107,37,46,110,26,1284
47649,1519,788,6,60,17,0,57,22,731
35576,2958,1518,31,98,39,24,87,43,1440
36535,30187,14015,84,889,493,197,1141,637,16172
37367,12152,7231,224,463,146,20,249,158,4921
27107,47610,22193,257,1196,447,358,1531,570,25417
24324,1757,858,0,15,46,19,67,28,899
41132,335,146,0,0,0,0,0,10,189
43506,14192,6593,47,474,196,57,320,208,7599
28584,12265,5957,96,414,199,13,345,287,6308
29325,15562,7337,219,312,228,197,340,338,8225
95965,20460,10542,178,539,186,166,642,215,9918
97844,4221,2184,7,69,24,14,114,81,2037
83429,714,366,0,0,25,0,4,25,348
78148,21750,10478,57,611,214,131,767,385,11272
78588,204,123,0,9,17,0,2,0,81
65777,437,243,0,16,45,0,0,0,194
67050,1939,1068,3,77,16,23,63,20,871
67645,900,471,0,8,49,9,2,32,429
56522,455,229,1,26,3,0,18,11,226
58405,428,192,36,0,0,40,0,0,236
60025,41014,19786,138,1056,483,119,1431,640,21228
50278,788,412,0,22,17,0,8,15,376
50569,609,276,0,10,20,5,19,40,333
52156,591,307,3,14,2,0,30,2,284
51530,621,328,5,13,4,9,12,15,293
51656,52,24,0,1,1,0,5,3,28
55381,2003,1035,11,59,22,8,70,26,968
30263,58705,28600,340,1789,518,216,1872,657,30105
30728,20609,10224,113,645,197,225,747,290,10385
31714,5866,2845,36,276,46,9,187,122,3021
33315,13362,7032,101,409,98,0,356,271,6330
34209,34794,16862,119,781,537,141,582,500,17932
37050,1325,710,3,39,31,3,14,65,615
15665,1494,593,0,57,0,0,15,33,901
17265,621,337,3,44,12,0,52,13,284
19511,94,63,0,8,0,0,9,0,31
8406,10232,4851,167,232,129,167,255,145,5381
29520,13892,6359,191,183,144,0,398,220,7533
29615,37681,17858,302,1262,254,181,1129,541,19823
11716,9957,5075,57,377,98,61,196,162,4882
12719,1284,648,23,51,38,23,20,14,636
23435,30018,14673,181,1156,357,290,1138,386,15345
24550,7772,3932,18,213,114,0,182,153,3840
25918,4478,2275,28,159,30,7,155,73,2203
27028,26044,12866,89,896,400,198,905,457,13178
95655,4178,2017,78,122,20,62,201,46,2161
98604,37036,17925,174,872,377,253,1155,513,19111
87413,16955,8601,104,506,199,136,372,119,8354
2382,14961,7284,63,418,97,135,500,131,7677
2719,16026,7622,85,625,215,71,469,156,8404
79370,1590,858,11,72,12,0,25,48,732
71226,1951,942,11,96,67,0,20,22,1009
72542,3712,1841,4,83,77,8,80,93,1871
72686,122,93,0,0,0,0,0,0,29
72927,8338,4120,7,280,108,104,359,135,4218
83355,4450,2316,66,166,28,20,104,92,2134
83641,3400,1723,12,93,39,5,133,40,1677
84307,1137,603,0,22,17,2,35,17,534
60139,34364,17164,284,1308,393,179,1313,492,17200
60438,28960,12583,148,839,403,395,1014,590,16377
68636,1299,625,13,26,22,0,10,35,674
66532,759,384,0,24,3,1,13,16,375
55723,2226,1111,7,27,67,0,49,47,1115
39478,2100,1062,0,16,9,20,8,49,1038
61107,30905,14907,162,884,319,22,827,545,15998
58072,7587,3750,74,161,112,102,212,69,3837
59333,14,7,0,0,0,0,0,3,7
42163,84,0,0,0,0,0,47,0,84
43735,438,195,0,76,0,0,54,8,243
44403,3904,1875,0,100,24,11,109,58,2029
50581,935,459,0,26,11,7,30,15,476
33850,7802,3832,0,187,93,79,276,126,3970
35593,1691,932,28,10,34,0,20,49,759
40118,9788,4734,97,257,80,156,365,141,5054
40371,3128,1480,0,74,41,16,112,95,1648
15564,67,22,0,3,1,2,2,1,45
15944,3081,1573,4,121,61,17,103,46,1508
17052,1526,784,24,47,24,8,44,13,742
30747,15438,8341,176,612,119,45,550,136,7097
32746,43232,21132,153,1370,582,175,1810,580,22100
33801,35305,17404,495,1041,392,496,923,500,17901
10998,3157,1662,49,100,9,0,96,11,1495
21623,2000,1082,0,89,9,6,64,29,918
11560,6365,2989,12,104,54,45,139,98,3376
18355,1553,862,0,11,8,32,13,20,691
36538,407,237,0,28,12,0,0,6,170
37322,8359,4163,14,299,112,48,177,136,4196
43081,61572,29143,367,2446,609,267,1868,646,32429
27105,40530,19672,204,1151,351,190,1196,513,20858
46731,595,263,0,29,9,0,26,0,332
2875,546,282,0,0,0,0,21,17,264
4630,1384,642,13,34,32,20,48,26,742
6053,34772,17426,494,1239,313,201,1112,377,17346
714,17998,8455,158,459,204,110,657,296,9543
2126,29591,13954,153,769,303,141,1535,366,15637
14150,40825,19381,263,1030,342,211,1057,808,21444
30339,23373,10959,86,873,136,205,879,226,12414
32361,256,136,0,18,0,0,0,0,120
33523,18387,8770,125,360,183,169,483,159,9617
33706,16294,8100,33,404,238,11,315,347,8194
24605,8685,3982,17,162,125,126,169,122,4703
25444,182,90,0,31,0,0,0,0,92
26280,1805,889,5,44,3,6,42,25,916
18465,1390,722,18,46,14,4,42,22,668
12197,2023,961,20,29,29,8,38,11,1062
13147,1147,592,4,29,13,19,26,19,555
28519,260,123,0,5,6,0,5,2,137
82937,4375,2202,35,114,116,9,80,98,2173
64070,3443,1685,12,58,39,11,53,40,1758
64471,428,222,0,14,1,0,5,3,206
75075,36917,18086,164,1287,524,96,1043,568,18831
68118,10134,5065,62,396,113,18,369,171,5069
79080,519,257,6,9,15,0,6,2,262
92114,70039,34909,446,2070,636,524,1975,1053,35130
98144,31845,16088,207,1542,373,125,1599,196,15757
98833,162,89,0,3,0,0,3,0,73
95692,5152,2689,24,111,31,27,129,80,2463
95826,38256,18406,386,1256,353,559,722,469,19850
93458,57369,28951,459,2107,274,495,1778,513,28418
61866,14296,6977,88,377,132,74,571,199,7319
77046,970,326,0,15,0,0,69,31,644
77581,49612,23681,229,1670,383,232,1792,461,25931
67149,863,490,0,26,8,1,19,4,373
57231,1640,848,0,54,30,2,25,31,792
74061,2025,1071,0,9,30,0,60,16,954
82412,523,216,15,15,18,0,9,11,307
75756,4611,2178,3,178,75,171,104,62,2433
85225,70066,35765,625,2518,592,423,2512,715,34301
86508,726,326,0,4,7,16,19,24,400
87579,888,515,4,62,16,7,70,13,373
93215,55269,31769,724,1925,375,228,1555,455,23500
94973,1342,725,0,5,58,0,0,43,617
98587,754,415,14,25,10,0,17,6,339
98639,1055,486,41,40,0,25,40,17,569
4747,1324,694,2,34,21,0,28,31,630
5452,21444,10326,130,637,249,171,568,245,11118
6410,29138,15384,290,804,225,75,665,426,13754
2769,12082,6307,72,298,89,131,278,179,5775
54875,1082,575,0,44,16,4,55,21,507
55018,916,485,4,31,14,10,10,14,431
37421,50927,24787,273,1399,503,227,1457,574,26140
5155,871,415,0,36,54,0,44,20,456
6074,25823,12749,80,643,243,131,1016,302,13074
17010,302,95,0,29,0,0,0,0,207
58370,1270,627,0,40,1,8,15,21,643
72536,415,224,0,0,24,0,10,18,191
73644,14668,7628,60,468,112,148,451,173,7040
74330,3331,1495,0,172,16,37,128,94,1836
30354,16398,6929,36,612,130,238,678,224,9469
80454,1347,650,0,36,0,0,128,10,697
37774,17811,9032,71,383,332,84,397,328,8779
44022,16604,8033,34,408,179,0,445,354,8571
72774,5726,2754,10,168,95,8,250,158,2972
53803,1276,651,0,45,13,3,27,17,625
54565,57,33,0,1,0,0,0,2,24
54757,3430,1792,7,114,42,15,92,53,1638
55054,2620,1369,0,128,40,35,180,16,1251
62248,391,188,2,26,0,2,10,0,203
42104,33415,16027,368,1075,182,223,1241,554,17388
43115,1493,640,3,25,16,12,101,21,853
44333,18778,9094,97,514,254,29,569,313,9684
34101,0,0,0,0,0,0,0,0,0
39067,1508,821,2,61,20,23,40,6,687
23025,266,82,0,0,0,0,0,0,184
23228,35950,17235,228,1437,311,185,1549,673,18715
28386,5997,2708,50,122,96,39,336,68,3289
73834,1513,698,0,23,21,0,34,37,815
81422,691,370,0,26,4,2,17,21,321
82242,35,14,1,8,0,0,8,3,21
85262,11546,5897,71,102,415,35,230,321,5649
93308,53702,27362,380,1769,472,500,1494,607,26340
93611,48473,23474,288,1680,484,251,1675,671,24999
94131,29902,16425,80,1671,355,45,1198,396,13477
96062,1007,486,0,18,8,4,9,26,521
97378,8345,4783,35,465,112,34,208,47,3562
15555,100,44,0,3,0,0,4,3,56
16662,5516,2579,5,167,74,24,147,69,2937
16940,268,135,0,2,5,0,8,8,133
17212,785,398,5,18,0,0,37,6,387
8835,10283,4821,130,456,104,42,340,164,5462
12771,14757,7037,75,311,199,143,408,316,7720
12810,747,349,3,18,9,0,14,15,398
13350,9827,4943,68,257,119,25,246,153,4884
22720,744,383,0,38,14,0,29,6,361
13655,3431,1546,0,0,41,0,65,37,1885
3266,2209,1088,11,34,40,7,57,71,1121
77015,56155,28609,435,1526,627,332,1779,588,27546
77550,21449,10604,124,674,285,188,591,361,10845
78041,47261,23216,396,1498,315,439,1501,465,24045
80720,2803,1455,4,92,38,8,72,61,1348
83215,50,22,0,0,0,0,0,0,28
83554,372,205,0,0,45,0,0,0,167
96720,49405,24345,339,1331,474,357,1392,844,25060
97368,3506,1943,58,82,32,32,98,63,1563
97877,257,145,0,8,7,0,0,0,112
89047,115,52,0,5,3,0,7,7,63
89412,195,115,0,0,0,8,0,0,80
99124,315,140,4,14,1,6,8,3,175
99554,837,432,10,18,4,12,16,8,405
28772,1061,520,0,32,41,0,38,59,541
29708,34082,16617,69,1118,260,141,1402,481,17465
31069,20167,10217,142,649,218,57,642,226,9950
36801,24840,11660,62,836,273,91,710,286,13180
47163,1500,786,0,20,0,0,9,0,714
23834,24824,11638,246,899,315,166,673,324,13186
23839,818,364,3,34,2,0,24,16,454
25140,1188,637,75,22,24,0,21,31,551
18221,307,150,0,0,0,0,16,0,157
18825,101,53,0,0,0,0,0,0,48
19115,34479,16064,145,1062,299,62,1154,464,18415
30663,3052,1460,41,109,7,5,82,40,1592
15612,379,181,0,14,35,0,0,0,198
93110,16660,8572,183,496,212,107,336,210,8088
95005,7710,3684,53,255,64,40,312,223,4026
95337,37706,18512,362,1212,194,155,1099,397,19194
98932,5162,2494,36,286,36,96,234,74,2668
87537,2510,1283,10,9,55,18,100,58,1227
37048,6506,3142,44,152,128,19,145,141,3364
62549,6264,3075,0,158,44,20,206,79,3189
63453,579,298,0,8,1,8,11,3,281
63534,788,422,5,18,11,9,26,41,366
63834,6739,4232,51,457,95,0,178,58,2507
72118,21184,10356,244,907,226,100,709,269,10828
78011,1925,901,4,46,30,8,87,61,1024
83547,286,145,0,8,11,0,0,0,141
66075,2431,1107,19,116,34,13,113,40,1324
54931,323,146,0,13,0,5,26,0,177
48164,8551,4386,44,243,115,59,238,106,4165
48444,9869,4871,102,362,79,210,272,99,4998
49245,4781,2327,46,197,63,17,184,46,2454
50001,788,313,0,22,17,0,26,21,475
50128,445,238,0,19,11,3,18,3,207
38824,7405,3582,0,158,61,27,242,65,3823
40078,2301,1195,2,112,44,0,80,49,1106
43430,4504,2243,20,103,92,28,101,37,2261
44618,6787,3265,37,197,77,123,178,56,3522
45418,1871,887,0,93,16,24,94,6,984
45789,150,74,0,28,0,0,28,0,76
46507,9306,4715,48,183,126,128,294,125,4591
36869,21064,10185,353,716,183,349,798,317,10879
37018,2092,1062,7,41,29,27,91,15,1030
39330,2643,1286,0,23,2,0,47,22,1357
62903,3211,1604,180,70,8,35,30,18,1607
72827,166,95,0,0,0,0,16,8,71
74052,1019,522,6,12,8,0,35,6,497
78701,9427,5682,63,639,121,42,267,168,3745
79541,985,549,0,0,10,19,51,13,436
79560,193,100,0,0,3,0,0,2,93
80230,9349,4076,47,216,90,38,465,105,5273
80836,1082,564,21,15,8,2,29,13,518
74570,1111,636,32,76,11,0,37,6,475
76067,20215,10129,179,693,162,83,646,336,10086
76476,2623,1354,15,35,33,30,28,39,1269
76561,1059,514,1,44,11,0,39,8,545
64640,2951,1418,17,49,53,32,66,40,1533
13788,990,566,20,35,25,0,9,32,424
14717,505,277,0,3,13,1,3,14,228
25846,323,130,0,0,0,0,0,0,193
27103,34993,16390,36,1389,283,111,1269,565,18603
30145,7142,3672,30,265,90,36,291,134,3470
31719,9145,4544,222,286,95,16,348,178,4601
32724,36047,17434,326,785,528,321,632,661,18613
32757,26679,12361,57,774,303,182,730,549,14318
36035,1468,812,5,33,7,0,46,35,656
36776,1694,775,0,67,14,0,104,25,919
38844,200,95,0,0,3,0,3,0,105
38954,1373,623,0,65,10,0,58,0,750
45814,3212,1535,3,116,25,5,115,31,1677
47369,1327,627,6,17,18,2,10,26,700
53932,2653,1286,5,122,22,0,87,31,1367
54022,23061,10668,748,698,266,694,543,376,12393
50210,1573,853,0,43,30,1,52,36,720
52206,2514,1340,4,101,0,4,71,35,1174
52760,292,64,0,17,0,0,17,0,228
43014,3507,1781,12,116,42,14,97,83,1726
13459,2405,1151,9,93,28,9,76,20,1254
15323,4633,2421,40,108,59,20,123,55,2212
20711,7085,3345,0,141,152,47,160,83,3740
21105,0,0,0,0,0,0,0,0,0
8629,14108,7056,98,589,108,87,357,48,7052
10986,1791,857,0,0,26,15,23,30,934
29730,55937,26988,574,1799,572,634,1588,738,28949
11763,29018,13936,220,888,229,108,782,532,15082
12139,156,102,12,27,1,0,1,1,54
17560,4644,2252,105,63,109,32,67,51,2392
18045,26344,12501,88,733,358,124,682,410,13843
76066,2443,1210,2,6,19,0,10,39,1233
81062,1775,1194,15,83,14,0,3,106,581
16020,1131,577,3,25,13,6,20,13,554
2815,208,96,0,0,0,0,9,13,112
4461,2980,1408,32,133,38,9,70,90,1572
7032,41523,21205,425,1526,406,376,1528,489,20318
20690,753,416,0,39,12,16,21,10,337
22454,1618,752,0,51,25,68,29,34,866
75459,5285,2680,19,235,70,10,250,37,2605
75904,34059,15906,199,936,207,324,1113,396,18153
84719,77,39,0,0,0,0,0,2,38
92840,55186,28124,401,2249,491,395,1590,806,27062
24639,3102,1410,0,84,9,0,111,19,1692
25053,4654,2296,87,162,56,8,128,69,2358
13135,6689,3370,16,150,107,5,246,167,3319
659,40390,19407,330,1196,317,193,1367,493,20983
1094,282,134,0,0,0,0,0,8,148
26425,1134,535,7,20,21,27,13,28,599
41660,678,285,0,27,0,0,0,0,393
43623,19936,9287,161,413,257,113,551,251,10649
68041,1256,651,0,39,11,11,67,11,605
68783,1011,451,0,27,19,3,24,5,560
58418,332,148,0,3,2,0,4,1,184
62069,3088,1548,19,58,30,13,96,58,1540
37618,13011,6106,24,317,245,193,262,187,6905
98665,26556,13516,259,771,153,253,1144,383,13040
97002,5795,2902,6,120,139,10,121,67,2893
97233,41047,20044,202,1892,328,188,1388,389,21003
76857,1596,822,0,29,46,0,48,23,774
76878,1857,953,2,46,17,0,99,27,904
77478,25277,12613,48,633,183,105,396,393,12664
92583,32692,15975,221,1025,330,201,1146,455,16717
74956,1739,868,20,35,9,0,52,32,871
84073,289,154,0,18,5,0,11,0,135
84316,248,128,6,10,6,0,5,3,120
86054,1718,826,0,43,23,3,29,50,892
65707,2281,1080,5,66,32,1,38,84,1201
87028,733,525,0,143,143,0,47,0,208
89510,1574,896,0,19,73,0,31,67,678
73647,609,360,0,29,37,0,22,20,249
46360,43684,22049,261,1350,412,90,1046,557,21635
46614,30647,14481,165,905,430,283,666,533,16166
40813,453,223,15,0,29,0,0,13,230
38860,6542,2936,85,391,44,141,142,129,3606
62856,391,180,0,13,14,0,19,8,211
62957,931,494,17,21,0,4,24,13,437
64436,791,353,0,43,7,3,36,26,438
56127,426,239,0,13,5,10,3,4,187
58017,277,148,0,9,8,0,3,5,129
52171,879,428,0,17,5,11,27,15,451
49221,40615,20920,651,1563,405,405,1066,712,19695
49336,4232,2207,7,102,87,54,128,67,2025
50525,3487,1730,17,95,42,41,121,77,1757
2840,23211,10853,111,813,254,161,612,251,12358
4495,469,236,2,12,6,6,4,10,233
14301,12594,5806,41,342,147,109,420,160,6788
15480,1855,874,0,17,35,0,67,73,981
16121,4667,1964,64,74,18,10,168,88,2703
23487,5904,2916,90,255,44,122,180,92,2988
25040,487,255,0,36,0,0,0,15,232
19951,2044,1044,13,2,87,0,1,62,1000
27233,3643,1902,11,94,0,117,131,42,1741
13082,4380,2075,0,70,126,15,165,72,2305
76841,25,7,0,0,0,0,0,0,18
78827,1052,508,18,20,13,20,16,13,544
51451,124,66,0,4,6,0,0,2,58
55408,31090,16298,89,1401,244,162,1059,187,14792
59212,598,344,0,29,8,0,20,1,254
60465,17473,7986,169,453,184,133,833,251,9487
65775,25064,12067,182,704,304,152,667,307,12997
70065,51377,25656,394,1520,487,225,1681,778,25721
71751,1186,589,42,2,34,0,75,22,597
72068,411,166,5,29,5,5,25,5,245
73773,2040,1018,14,93,22,17,54,30,1022
75105,190,113,0,4,0,0,0,0,77
31744,2791,1341,0,79,50,27,73,23,1450
32571,35388,18035,221,1201,468,202,931,577,17353
21713,10379,5087,79,252,105,72,313,162,5292
16341,1773,851,3,56,30,15,57,31,922
22640,566,242,0,19,0,0,0,23,324
49080,16214,7744,68,564,196,115,578,246,8470
84038,271,132,0,1,21,0,0,6,139
86413,12574,7414,6,467,222,16,132,151,5160
37743,26291,12832,171,774,249,175,786,397,13459
38468,5251,2587,46,161,68,49,186,90,2664
43986,2332,1191,19,69,11,36,54,19,1141
72338,6,6,0,0,0,0,0,0,0
44102,45514,22703,398,1684,244,312,1475,453,22811
94089,22313,12029,94,890,162,157,798,215,10284
45684,2093,1072,25,3,1,0,84,56,1021
65069,635,345,11,0,8,0,16,0,290
29340,21046,10138,237,366,243,117,698,193,10908
65444,1166,630,27,48,16,0,21,4,536
67052,9357,4759,101,305,70,40,361,86,4598
29645,9643,4560,58,304,89,97,282,87,5083
56083,831,412,4,25,16,5,15,11,419
10506,5693,2556,48,86,43,61,92,113,3137
71068,3553,1714,37,157,13,0,77,73,1839
40014,21609,10815,64,972,264,91,768,316,10794
13312,391,193,0,15,17,4,14,23,198
12789,1952,940,0,34,6,3,37,9,1012
14472,8421,4262,30,148,42,11,204,142,4159
44878,3118,1496,4,70,62,0,95,78,1622
95134,27224,14780,81,1791,120,60,971,146,12444
55953,822,412,0,19,29,0,21,15,410
